Title,ReleaseDate,Popularity,Budget,Revenue,Director,Genre,IMDBRating,IMDBVotes,BoxOfice,Production
Die Fledermaus,'16/08/1946',0.03128,0.0,0.0,Géza von Bolváry,"Comedy, Romance",7.0,76,N/A,N/A
Waris,'01/01/1969',0.001875,0.0,0.0,Ramanna,"Comedy, Drama, Family",6.0,26,N/A,N/A
Maria,'21/11/2003',0.160056,0.0,0.0,Cãlin Peter Netzer,"Comedy, Drama",7.1,251,N/A,N/A
Home on the Range,'23/03/1940',0.001878,0.0,0.0,Rudolf Ising,"Animation, Drama, Short",5.9,30,N/A,N/A
Three Wise Fools,'19/08/1923',0.015705,0.0,0.0,King Vidor,Comedy,6.0,14,N/A,N/A
Ellam Un Kairasi,'09/10/1980',0.25,0.0,0.0,I.V. Sasi,Drama,5.4,14,N/A,N/A
Mango Tango,'NaT',0.0,0.0,0.0,Marianne Hettinger,"Comedy, Thriller",7.8,23,N/A,N/A
Titanic,'01/01/1984',1.4e-05,0.0,0.0,Lutz Büscher,Drama,6.7,29,N/A,N/A
An Arcadian Maid,'01/08/1910',0.003402,0.0,0.0,D.W. Griffith,"Drama, Short",5.5,96,N/A,N/A
Blood on the Coal,'12/08/2015',0.176027,0.0,0.0,Jeff Bird,Documentary,N/A,N/A,N/A,N/A
Rip Van Winkle,'01/01/1978',0.000166,0.0,0.0,Will Vinton,"Animation, Short",7.3,69,N/A,N/A
Red Rock Outlaw,'16/12/1949',0.00211,0.0,0.0,Elmer Clifton,"Music, Western",N/A,N/A,N/A,N/A
The Hungry Bachelors Club,'NaT',3.6e-05,0.0,0.0,Gregory Ruzzin,"Comedy, Drama, Romance",6.6,54,N/A,N/A
Scream,'20/12/1996',6.41865,14000000.0,173046663.0,Wes Craven,"Horror, Mystery",7.2,"236,718",N/A,Miramax Films
Twilight on the Prairie,'30/04/1944',0.00531,0.0,0.0,Jean Yarbrough,"Musical, Western",N/A,N/A,N/A,N/A
